"What is bravery, without a dash of recklessness?" | "- 'Dark Souls'."
"Life is a serious battle, and you have to use the tools you're given." | "- 'Pokemon Black And White'."
"Often when we guess at others' motives, we reveal only our own." | "- 'Destiny'."
"It ain't no secret I didn't get these scars falling over in church." | "- John Marston, 'Red Dead Redemption'."
"If I cannot outsmart them, I will outfight them." | "- 'Dota 2'."
"If history only remembers one in thousands of us, then the\nfuture will be filled with stories of who we were and what we did." | "- 'Battlefield 1'."
"The more things change, the more they stay the same." | "- 'Resident Evil 6'."
"Every lie contains the truth, and every truth contains a lie..." | "- 'Suikoden II'."
"You can’t undo what you’ve already done, but you can face up to it." | "- 'Silent Hill: Downpour'."
"Why you care about small things? World very simple place. World\nonly have two things: Things you can eat and things you can't eat." | "- 'Final Fantasy IX'."
"Your vast corrupt future is draining away as we speak." | "- L. A. Noire."
"Ordinarily, I wouldn't contemplate them... but these are\nextraordinary times." | "- 'Half Life 2'."
"I've decided to give you a shot, Tommy. I like new faces.\nWe're one big family here." | "- 'Mafia'."
"I'm the leading man. Do you know what they say about the\nleading man? He never dies." | "- 'Final Fantasy XII'."
"I'd like to play a video game where you help the people who\nwere shot in all the other games. It'd be called 'Really Busy Hospital.'" | "- Demetri Martin."
"If Pac-Man had affected us as kids, we'd all be running around\nin dark rooms, munching pills and listening to repetitive\nelectronic music." | "- Marcus Brigstocke."
"Always trust computer games." | "- Ridley Pearson."
"Above all, video games are meant to just be one thing: Fun for everyone." | "- Satoru Iwata."
"My parents said that sitting at home playing video games\nall day won't bring you anywhere in life." | "- Felix 'PewDiePie' Kjellberg."
"Some people say video games rot your brain, but I think\nthey work different muscles that maybe you don't normally use." | "- Ezra Koenig."
"Playing video games is something I enjoy in my spare time.\nI'm a gamer, always have been." | "- Kevin Garnett."
"If we continue down the same path as we have in the past,\npeople may become tired of gaming." | "- Satoru Iwata."
"Reality is broken. Game designers can fix it." | "- Jane McGonigal."
 "In other words, gameplay is the direct emotional opposite of depression." | "- Jane McGonigal."
"It's more interactive than watching TV, because there are\nproblems to solve as you're using your brain." | "- Shaun White."
"People love video games because they do things they obviously\ncan't do in real life." | "- Ralph H. Baer."
"Super Mario Bros. hooks newcomers because there are no\nbarriers to playing the game." | "- Adam Alter."
"Games were not just a diversion, I realized. Games could make you feel." | "- Sid Meier."
"I grew up with video games. My generation kind of grew up\nwith the Nintendo and the Sega Genesis." | "- C. C. Sabitha."
"EA Sports. It's in the game!" | "- Electronic Arts"
"Gotta catch 'em all!" | "- 'Pokemon'."
"Power to the players!" | "- Gamestop."
"Wii would like you to play!" | "- Nintendo."
"The way it's meant to be played." | "- NVIDIA."
"I do miss playing on the big stage, to be able to hear the\ncrowd roar in the stadium. But I don't miss competing." | "- Michael 'Shroud' Grzesiek."
"All your life, you’ll meet people that only want to break\nyou down. Forget them, stand strong with the people who build you up." | "- Mark 'Markiplier' Fischbach."
"Everyone has played video games at some point these days,\nand video games are fun." | "- Felix 'PewDiePie' Kjellberg."
"What I do is temporary, but what I leave behind is forever." | "- Mark 'Markiplier' Fischbach."
